Name,Stock Level,Min Level,Unit,Unit Price,Currency,SKU,Supplier,Category,Last Ordered,Notes,Capacity,EAN / UPC,Retail Price,Wholesale Price,Link
Pineapple Cream Whipped Sugar Scrub | Soapy Fluffs,0,,pieces,,USD,61673113182901,,,1970-01-01,,0,,6,,https://app.inventora.com/products/7KvebBKyDWt25nyTVWxdVh/details
Pirate’s Rum Scented Soy Candle - A Journey into Spiced Rum & Ocean Breeze 2,2,,pieces,,USD,61673116294229,,,1970-01-01,,0,,8,,https://app.inventora.com/products/b7ZGmYdQMjgvdFSbMELJ3i/details
Rugged Timber Scented Soy Candle – A Bold Escape Into the Wilderness 2,2,,pieces,,USD,61673116294229,,,1970-01-01,,0,,8,,https://app.inventora.com/products/9wC96kKUPSiT3X6jNdcLGY/details
"Savage Beast Whipped Sugar Soap Scrub – Soapyfluffs, Exfoliating & Dior Sauvage Inspired",8,,pieces,,USD,61673111043861,,,1970-01-01,,0,,5,,https://app.inventora.com/products/7CHvZsg3Jj55XSveeQ4XYc/details
Shower Steamer - Energy Shower (4 count),20,,pieces,,USD,61673117570005,,,1970-01-01,,0,,6,,https://app.inventora.com/products/88J1w23dsKpEsTuKk2rsAZ/details
Shower Steamer - Just Breathe,4,,pieces,,USD,61673117830037,,,1970-01-01,,0,,2,,https://app.inventora.com/products/qD2kocmJXp1wPGLLnUSZ3g/details
Shower Steamer - Just Breathe (4 count),8,,pieces,,USD,61673117949653,,,1970-01-01,,0,,6,,https://app.inventora.com/products/t8VLctphm6rW4LGYTmmJC9/details
Shower Steamer - Sleepytime,18,,pieces,,USD,61673117712469,,,1970-01-01,,0,,2,,https://app.inventora.com/products/9zziSbqBSRWrqdKHaZxo4k/details
Shower Steamer - Sleepytime (4 count),6,,pieces,,USD,61673117678485,,,1970-01-01,,0,,6,,https://app.inventora.com/products/hPXmJWSBeXvuzR37TfptdG/details
Sleep Time Aroma Therapy Steamer – Lavender & Lemongrass Essential Oils for Relaxation,10,,pieces,,USD,28125028559541,,,1970-01-01,,0,,2,,https://app.inventora.com/products/keH3RBEj3Q7GeqktxWRLY4/details
SoapyFluffs 4-Soap Box (Subscribe & Save),50,,pieces,,USD,SOAPY-2,,,1970-01-01,,0,,29,,https://app.inventora.com/products/2FQVTbVuZdwuNVUZLcvDW9/details
"SoapyFluffs Artisan Bath Bombs – Fun, Fizz & Fragrance | SoapyFluffs - Java Snicker Doodle",0,,pieces,,USD,61673115636213,,,1970-01-01,,0,,6,,https://app.inventora.com/products/kw94kyvpE5rzffayqgEjGk/details
"SoapyFluffs Artisan Bath Bombs – Fun, Fizz & Fragrance | SoapyFluffs - Lemon Cookies",6,,pieces,,USD,61673115776213,,,1970-01-01,,0,,3,,https://app.inventora.com/products/6JhEo9xnwwRUhpUm3NnF9p/details
